Protein ID,Rank Score, Type
YBR245C,0.00378409026854,Shore
YLR432W,0.0036419935747,Fjord
YML124C,0.00357613950772,Fjord
YOR133W,0.00353020414771,Fjord
YDR385W,0.00304940997153,Fjord
YHR216W,0.00304843120914,Bridge
YML056C,0.00300684304756,Fjord
YML085C,0.0026374625246,Fjord
YGR086C,0.00261778149188,Fjord
YDR394W,0.00260561074387,Shore
YHR023W,0.00260249327286,Essential
YGL048C,0.00256873000057,Essential
YCR057C,0.00251697726658,Fjord
YDL007W,0.00249194639229,Essential
YKL145W,0.00248356368841,Shore
YGR162W,0.00244818512855,Fjord
YIL035C,0.00243507730521,Fjord
YBL003C,0.00239270782951,Fjord
YPL004C,0.00233499659172,Fjord
YMR229C,0.00223381825566,Fjord
YOR304W,0.00217683573612,Essential
YBR009C,0.00205892811982,Fjord
YOR310C,0.00205409916776,Shore
YKL129C,0.00205226304573,Bridge
YOR259C,0.00203430136823,Essential
YMR109W,0.00202297216947,Essential
YMR186W,0.0019925226367,Fjord
YOR117W,0.00197167091981,Essential
YDR200C,0.00194024648747,Fjord
YHR052W,0.00193816986189,Fjord
YLR197W,0.00193775781481,Shore
YGL049C,0.00193653817587,Fjord
YDL126C,0.00193220425892,Fjord
YNL061W,0.00193187315756,Shore
YGR103W,0.00192340080689,Shore
YJL041W,0.00192159148676,Fjord
YLR175W,0.00191405407523,Fjord
YOL094C,0.00189098075294,Shore
YNL290W,0.00186451438392,Essential
YBR247C,0.00185640965594,Fjord
YOR326W,0.00185048453378,Fjord
YER172C,0.00184860728947,Shore
YPL235W,0.00184305402272,Fjord
YDL188C,0.0018233467419,Shore
YOL090W,0.0018092982847,Bridge
YMR049C,0.00179168634469,Shore
YKL081W,0.0017867793709,Fjord
YHR165C,0.00178489036327,Shore
YER029C,0.00178138502115,Fjord
YLR293C,0.00177811495224,Fjord
YOL038W,0.00177742948898,Shore
YBL002W,0.00176440447203,Fjord
YPL043W,0.0017640519498,Shore
YDR097C,0.00174528639917,Essential
YPL240C,0.00174135952837,Essential
YOR185C,0.00172706023787,Essential
YBR010W,0.00172076523123,Fjord
YDR496C,0.00171610454256,Shore
YDR381W,0.00169678584496,Fjord
YDL134C,0.00166171502935,Fjord
YER027C,0.00165620851864,Essential
YOR061W,0.00164364969534,Fjord
YDR328C,0.00163384370162,Fjord
YPL048W,0.00162803660543,Essential
YLR238W,0.00161898818647,Essential
YGR135W,0.00159911929118,Shore
YAL029C,0.00159826876015,Shore
YDL055C,0.00159223569184,Fjord
YOR206W,0.00158981865656,Shore
YCR092C,0.00158622927095,Essential
YGL019W,0.00158075257212,Fjord
YHR064C,0.00156641721306,Fjord
YLR208W,0.00156013425016,Shore
YKR081C,0.00154779797388,Shore
YFL059W,0.00154327420542,Fjord
YDL213C,0.00153188077419,Fjord
YML092C,0.00152093188795,Essential
YBR127C,0.00151938541774,Shore
YER165W,0.00151689543162,Fjord
YER112W,0.00151547991155,Shore
YNL333W,0.00151102889231,Essential
YDL185W,0.00150849230184,Shore
YBL084C,0.00149345852717,Bridge
YDR060W,0.00148874813478,Fjord
YKL173W,0.00148273495475,Shore
YNL031C,0.00148212179865,Shore
YDL014W,0.00148197186613,Fjord
YKL166C,0.00147887722978,Shore
YNL110C,0.00146629160261,Shore
YJL111W,0.00145385241387,Essential
YBR189W,0.00145205776081,Shore
YDR190C,0.00145113079967,Fjord
YER006W,0.00144792805893,Shore
YHR196W,0.00144225899545,Fjord
YBR154C,0.00144057725425,Shore
YOR362C,0.00143337635824,Essential
YGR220C,0.00143253747767,Fjord
YHL004W,0.00143047001822,Shore
YPR187W,0.00142652148931,Essential
YDR224C,0.00142266245013,Fjord
YCR046C,0.00142124130966,Fjord
YML025C,0.00139710550459,Fjord
YGL208W,0.00139264373154,Essential
YDR225W,0.00139075798796,Fjord
YAL021C,0.0013906268998,Fjord
YDR296W,0.00138756960699,Fjord
YFL037W,0.00138493770687,Fjord
YNL189W,0.00138246496783,Fjord
